time,Open
1636416000,469.320.007
1636502400,465.579.987
1636588800,465.209.991
1636675200,465.119.995
1636934400,468.640.015
1637020800,467.149.994
1637107200,469.000.000
1637193600,469.239.990
1637280000,469.609.985
1637539200,470.890.015
1637625600,467.220.001
1637712000,466.059.998
1637884800,462.339.996
1638144000,464.070.007
1638230400,462.000.000
1638316800,461.640.015
1638403200,450.730.011
1638489600,459.170.013
1638748800,456.130.005
1638835200,464.410.004
1638921600,468.700.012
1639008000,468.149.994
1639094400,469.230.011
1639353600,470.190.002
1639440000,463.089.996
1639526400,463.420.013
1639612800,472.570.007
1639699200,461.549.988
1639958400,454.480.011
1640044800,458.609.985
1640131200,462.790.009
1640217600,468.750.000
1640563200,472.059.998
1640649600,477.720.001
1640736000,476.980.011
1640822400,477.929.993
1640908800,475.640.015
1641168000,476.299.988
1641254400,479.220.001
1641340800,477.160.004
1641427200,467.890.015
1641513600,467.950.012
1641772800,462.700.012
1641859200,465.230.011
1641945600,471.589.996
1642032000,472.190.002
1642118400,461.190.002
1642464000,459.739.990
1642550400,458.130.005
1642636800,453.750.000
1642723200,445.559.998
1642982400,432.029.999
1643068800,433.059.998
1643155200,440.720.001
1643241600,438.260.010
1643328000,432.679.993
1643587200,441.239.990
1643673600,450.679.993
1643760000,455.500.000
1643846400,450.950.012
1643932800,446.350.006
1644192000,449.510.010
1644278400,446.730.011
1644364800,455.220.001
1644451200,451.339.996
1644537600,449.410.004
1644796800,439.920.013
1644883200,443.730.011
1644969600,443.929.993
1645056000,443.220.001
1645142400,437.329.987
1645488000,431.890.015
1645574400,432.660.004
1645660800,411.019.989
1645747200,429.609.985
1646006400,432.029.999
1646092800,435.040.009
1646179200,432.369.995
1646265600,440.470.001
1646352000,431.750.000
1646611200,431.549.988
1646697600,419.619.995
1646784000,425.140.015
1646870400,422.519.989
1646956800,428.119.995
1647216000,420.890.015
1647302400,419.769.989
1647388800,429.890.015
1647475200,433.589.996
1647561600,438.000.000
1647820800,444.339.996
1647907200,445.859.985
1647993600,446.910.004
1648080000,445.940.002
1648166400,451.160.004
1648425600,452.059.998
1648512000,460.019.989
1648598400,460.339.996
1648684800,457.890.015
1648771200,453.309.998
1649030400,453.130.005
1649116800,455.220.001
1649203200,446.890.015
1649289600,445.589.996
1649376000,447.970.001
1649635200,444.109.985
1649721600,443.079.987
1649808000,438.029.999
1649894400,443.549.988
1650240000,436.809.998
1650326400,437.859.985
1650412800,446.920.013
1650499200,448.540.009
1650585600,436.910.004
1650844800,423.670.013
1650931200,425.829.987
1651017600,417.239.990
1651104000,422.290.009
1651190400,423.589.996
1651449600,412.070.007
1651536000,415.010.010
1651622400,417.079.987
1651708800,424.549.988
1651795200,411.100.006
1652054400,405.100.006
1652140800,404.489.990
1652227200,398.070.007
1652313600,389.369.995
1652400000,396.709.991
1652659200,399.980.011
1652745600,406.529.999
1652832000,403.500.000
1652918400,388.619.995
1653004800,393.250.000
1653264000,392.829.987
1653350400,392.559.998
1653436800,392.309.998
1653523200,398.670.013
1653609600,407.910.004
1653955200,413.549.988
1654041600,415.170.013
1654128000,409.420.013
1654214400,412.399.994
1654473600,414.779.999
1654560000,408.100.006
1654646400,413.929.993
1654732800,409.339.996
1654819200,394.880.005
1655078400,379.850.006
1655164800,376.850.006
1655251200,377.359.985
1655337600,370.510.010
1655424000,365.510.010
1655769600,371.890.015
1655856000,370.619.995
1655942400,376.640.015
1656028800,381.399.994
1656288000,391.049.988
1656374400,390.230.011
1656460800,381.230.011
1656547200,376.239.990
1656633600,376.559.998
1656979200,375.880.005
1657065600,382.109.985
1657152000,385.119.995
1657238400,387.269.989
1657497600,385.850.006
1657584000,383.649.994
1657670400,375.100.006
1657756800,373.609.985
1657843200,382.549.988
1658102400,388.380.005
1658188800,386.079.987
1658275200,392.470.001
1658361600,394.160.004
1658448000,398.920.013
1658707200,395.750.000
1658793600,393.839.996
1658880000,394.359.985
1658966400,401.890.015
1659052800,407.579.987
1659312000,409.149.994
1659398400,409.119.995
1659484800,410.299.988
1659571200,414.369.995
1659657600,409.660.004
1659916800,415.250.000
1660003200,412.220.001
1660089600,418.779.999
1660176000,422.989.990
1660262400,422.029.999
1660521600,424.769.989
1660608000,427.730.011
1660694400,425.910.004
1660780800,426.859.985
1660867200,424.980.011
1661126400,417.049.988
1661212800,412.899.994
1661299200,412.109.985
1661385600,415.239.990
1661472000,419.390.015
1661731200,402.200.012
1661817600,403.850.006
1661904000,399.929.993
1661990400,392.890.015
1662076800,400.279.999
1662422400,393.130.005
1662508800,390.429.993
1662595200,395.390.015
1662681600,402.739.990
1662940800,408.779.999
1663027200,401.829.987
1663113600,394.470.001
1663200000,392.959.991
1663286400,384.140.015
1663545600,382.260.010
1663632000,385.059.998
1663718400,386.109.985
1663804800,376.579.987
1663891200,370.579.987
1664150400,366.410.004
1664236800,368.019.989
1664323200,364.380.005
1664409600,366.809.998
1664496000,361.799.988
1664755200,361.079.987
1664841600,372.399.994
1664928000,373.390.015
1665014400,375.619.995
1665100800,368.970.001
1665360000,363.959.991
1665446400,358.239.990
1665532800,358.170.013
1665619200,349.209.991
1665705600,368.549.988
1665964800,364.010.010
1666051200,375.130.005
1666137600,368.989.990
1666224000,368.029.999
1666310400,365.119.995
1666569600,375.890.015
1666656000,378.790.009
1666742400,381.619.995
1666828800,383.070.007
1666915200,379.869.995
1667174400,386.440.002
1667260800,390.140.015
1667347200,383.899.994
1667433600,371.470.001
1667520000,377.000.000
1667779200,377.709.991
1667865600,381.109.985
1667952000,379.929.993
1668038400,388.049.988
1668124800,395.589.996
1668384000,396.660.004
1668470400,401.149.994
1668556800,396.779.999
1668643200,390.459.991
1668729600,397.739.990
1668988800,394.640.015
1669075200,396.630.005
1669161600,399.549.988
1669334400,401.829.987
1669593600,399.089.996
1669680000,396.049.988
1669766400,395.489.990
1669852800,408.769.989
1669939200,402.250.000
1670198400,403.950.012
1670284800,399.420.013
1670371200,392.940.002
1670457600,395.140.015
1670544000,394.940.002
1670803200,394.109.985
1670889600,410.220.001
1670976000,401.609.985
1671062400,394.299.988
1671148800,385.179.993
1671408000,383.470.001
1671494400,379.230.011
1671580800,383.250.000
1671667200,383.049.988
1671753600,379.649.994
1672099200,382.790.009
1672185600,381.329.987
1672272000,379.630.005
1672358400,380.640.015
1672704000,384.369.995
1672790400,383.179.993
1672876800,381.720.001
1672963200,382.609.985
1673222400,390.369.995
1673308800,387.250.000
1673395200,392.230.011
1673481600,396.670.013
1673568000,393.619.995
1673913600,398.480.011
1674000000,399.010.010
1674086400,389.359.985
1674172800,390.100.006
1674432000,396.720.001
1674518400,398.880.005
1674604800,395.950.012
1674691200,403.130.005
1674777600,403.660.004
1675036800,402.799.988
1675123200,401.130.005
1675209600,405.209.991
1675296000,414.859.985
1675382400,411.589.996
1675641600,409.790.009
1675728000,408.869.995
1675814400,413.130.005
1675900800,414.410.004
1675987200,405.859.985
1676246400,408.720.001
1676332800,411.239.990
1676419200,410.350.006
1676505600,408.790.009
1676592000,406.059.998
1676937600,403.059.998
1677024000,399.519.989
1677110400,401.559.998
1677196800,395.420.013
1677456000,399.869.995
1677542400,397.230.011
1677628800,395.410.004
1677715200,392.679.993
1677801600,399.709.991
1678060800,405.049.988
1678147200,404.420.013
1678233600,398.390.015
1678320000,399.739.990
1678406400,390.989.990
1678665600,381.809.998
1678752000,390.500.000
1678838400,385.890.015
1678924800,386.820.007
1679011200,393.220.001
1679270400,390.799.988
1679356800,397.239.990
1679443200,398.730.011
1679529600,395.089.996
1679616000,391.839.996
1679875200,398.119.995
1679961600,395.769.989
1680048000,399.929.993
1680134400,404.089.996
1680220800,404.660.004
1680480000,408.850.006
